_time,totalNewCases,totalNewTests,undergradCases,undergradTests,gradCases,gradTests,facStaffCases,facStaffTests
Thu Mar  4 00:00:00 2021,9,10061,9,6218,0,1481,0,2111
Fri Mar  5 00:00:00 2021,7,10106,6,6099,1,1608,0,2144
Sat Mar  6 00:00:00 2021,4,4153,3,2361,1,808,0,874
Sun Mar  7 00:00:00 2021,5,6165,4,3632,0,1193,1,1200
Mon Mar  8 00:00:00 2021,23,14395,21,8762,2,2362,0,2955
Tue Mar  9 00:00:00 2021,10,9443,8,5864,1,1386,0,1987
Wed Mar 10 00:00:00 2021,10,8661,8,5172,0,1407,1,1897
Thu Mar 11 00:00:00 2021,5,9569,3,5811,1,1301,1,2037
Fri Mar 12 00:00:00 2021,8,9962,5,6012,0,1383,2,2152
Sat Mar 13 00:00:00 2021,3,3805,2,2121,0,615,1,796
Sun Mar 14 00:00:00 2021,2,5150,2,3018,0,1010,0,989
Mon Mar 15 00:00:00 2021,5,12407,4,7613,0,1754,1,2591
Tue Mar 16 00:00:00 2021,6,10063,3,6214,0,1454,3,2016
Wed Mar 17 00:00:00 2021,5,7469,2,4401,1,1187,2,1710
Thu Mar 18 00:00:00 2021,8,8028,5,4818,0,1126,2,1724
Fri Mar 19 00:00:00 2021,2,9711,2,5790,0,1429,0,2092
Sat Mar 20 00:00:00 2021,1,3817,1,2158,0,605,0,799
Sun Mar 21 00:00:00 2021,1,5228,1,3126,0,921,0,1037
Mon Mar 22 00:00:00 2021,11,13169,7,7885,2,1967,2,2847
Tue Mar 23 00:00:00 2021,8,8924,5,5276,2,1312,1,1959
Wed Mar 24 00:00:00 2021,11,7340,5,4177,2,1193,4,1777
Thu Mar 25 00:00:00 2021,9,8424,6,5041,1,1202,0,1964
Fri Mar 26 00:00:00 2021,9,9352,7,5703,1,1290,0,2090
Sat Mar 27 00:00:00 2021,6,3622,3,2049,2,634,1,828
Sun Mar 28 00:00:00 2021,4,5329,3,3175,0,939,1,1065
Mon Mar 29 00:00:00 2021,23,13293,19,8058,2,2029,2,2923
Tue Mar 30 00:00:00 2021,22,8687,20,5360,1,1186,1,1954
Wed Mar 31 00:00:00 2021,13,7543,10,4311,1,1213,2,1718
Thu Apr  1 00:00:00 2021,11,8591,6,5175,1,1277,4,1948
Fri Apr  2 00:00:00 2021,10,8983,6,5320,1,1309,3,2098
Sat Apr  3 00:00:00 2021,4,3389,4,1793,0,561,0,926
Sun Apr  4 00:00:00 2021,2,3220,2,1836,0,621,0,643
Mon Apr  5 00:00:00 2021,24,13513,19,8041,2,2161,2,2981
Tue Apr  6 00:00:00 2021,16,9024,6,5467,3,1293,6,2057
Wed Apr  7 00:00:00 2021,11,7223,8,4253,0,1056,3,1704
Thu Apr  8 00:00:00 2021,7,8187,5,4845,1,1157,1,1940
Fri Apr  9 00:00:00 2021,9,9225,5,5576,2,1329,1,2081
Sat Apr 10 00:00:00 2021,6,3321,3,1909,2,505,1,795
Sun Apr 11 00:00:00 2021,5,4788,4,2833,1,859,0,949
Mon Apr 12 00:00:00 2021,19,13480,15,8214,1,2075,3,2876
Tue Apr 13 00:00:00 2021,15,8474,10,5025,2,1328,2,1920
Wed Apr 14 00:00:00 2021,10,7944,9,4813,1,1200,0,1679
Thu Apr 15 00:00:00 2021,9,8610,8,5177,1,1241,0,2026
Fri Apr 16 00:00:00 2021,11,9070,6,5566,1,1273,3,2043
Sat Apr 17 00:00:00 2021,4,3370,2,1976,0,562,2,734
Sun Apr 18 00:00:00 2021,1,5126,1,3206,0,814,0,971
Mon Apr 19 00:00:00 2021,20,13598,14,8247,4,2064,1,2994
Tue Apr 20 00:00:00 2021,8,6822,3,4100,3,954,2,1631
Wed Apr 21 00:00:00 2021,18,8035,12,4958,3,1190,2,1680
Thu Apr 22 00:00:00 2021,11,8707,6,5208,0,1265,4,2028
Fri Apr 23 00:00:00 2021,10,8780,6,5278,1,1276,3,2038
Sat Apr 24 00:00:00 2021,7,3084,7,1768,0,489,0,734
Sun Apr 25 00:00:00 2021,11,4968,5,3010,1,851,5,951
Mon Apr 26 00:00:00 2021,11,13004,7,7827,1,2063,3,2909
Tue Apr 27 00:00:00 2021,8,8533,5,5163,0,1209,2,1926
Wed Apr 28 00:00:00 2021,5,6582,3,3866,0,962,2,1590
Thu Apr 29 00:00:00 2021,2,8265,1,4902,0,1164,1,2023
Fri Apr 30 00:00:00 2021,1,8520,0,5278,1,1225,0,1866
Sat May  1 00:00:00 2021,3,2862,1,1668,0,527,1,586
Sun May  2 00:00:00 2021,2,4627,1,2883,0,724,1,888
Mon May  3 00:00:00 2021,8,11622,5,6804,0,1788,3,2831
Tue May  4 00:00:00 2021,8,7341,5,4389,0,1023,3,1767
Wed May  5 00:00:00 2021,2,6728,2,4041,0,1061,0,1466
Thu May  6 00:00:00 2021,3,6769,3,3716,0,1011,0,1907
Fri May  7 00:00:00 2021,0,7442,0,4267,0,1163,0,1851
Sat May  8 00:00:00 2021,1,2799,1,1661,0,476,0,586
Sun May  9 00:00:00 2021,3,3610,3,2165,0,623,0,708
Mon May 10 00:00:00 2021,1,9901,1,5101,0,1767,0,2863
Tue May 11 00:00:00 2021,4,6575,4,3463,0,1144,0,1830
Wed May 12 00:00:00 2021,2,5431,2,2893,0,990,0,1394
Thu May 13 00:00:00 2021,2,5466,1,2546,0,992,1,1797
